SSN,InspectDate,DPU,CD,THK,Taper,Brightness_Drift,Flicker_NG,Defect_Mode
SSN2026000336,2026-03-17,1.0,54.895,705.929,85.494,-0.0635,0,Normal
SSN2026000337,2026-03-13,3.0,50.447,682.937,86.324,0.1408,0,Particle
SSN2026000338,2026-02-13,0.0,54.446,697.595,86.382,-0.2385,0,Normal
SSN2026000339,2026-01-13,0.0,52.174,714.846,86.762,0.2875,0,Normal
SSN2026000340,2026-01-26,1.0,56.93,705.573,86.757,0.3632,0,Normal
SSN2026000341,2026-02-08,4.0,54.741,711.829,86.493,0.3241,0,Normal
SSN2026000342,2026-04-01,4.0,56.442,715.519,86.596,0.7036,0,Brightness
SSN2026000344,2026-03-23,1.0,52.539,757.316,87.832,-0.0313,0,Normal
SSN2026000345,2026-04-02,4.0,55.865,679.676,84.62,0.2029,1,Flicker
SSN2026000346,2026-01-19,0.0,53.328,756.058,86.978,0.6284,1,Brightness
SSN2026000347,2026-01-04,1.0,,742.507,84.051,0.076,0,Normal
SSN2026000348,2026-02-24,0.0,53.387,703.535,85.025,0.4942,1,Flicker
SSN2026000349,2026-01-28,2.0,54.931,700.719,86.561,,0,Normal
SSN2026000350,2026-03-25,9.0,55.002,717.695,84.941,0.2022,0,Particle
SSN2026000351,2026-02-14,0.0,54.268,722.364,85.807,0.4508,0,Normal
SSN2026000352,2026-01-07,1.0,51.398,727.998,84.278,0.4582,0,Normal
SSN2026000353,2026-01-27,0.0,53.016,679.202,88.149,0.1955,0,Normal
SSN2026000354,2026-02-04,2.0,55.943,727.341,84.127,-0.0877,1,Flicker
SSN2026000355,2026-01-10,4.0,54.554,654.536,86.863,0.1002,0,Normal
SSN2026000356,2026-02-01,4.0,52.57,705.118,86.59,-0.3436,0,Normal
SSN2026000357,2026-02-22,3.0,56.356,742.818,86.062,0.548,1,Flicker
SSN2026000358,2026-03-27,2.0,53.952,664.356,86.349,0.2803,0,Normal
SSN2026000359,2026-03-02,10.0,51.031,674.634,86.738,-0.2164,0,Particle
SSN2026000360,2026-01-10,7.0,53.402,721.056,85.335,-0.0598,1,Flicker
SSN2026000361,2026-02-14,3.0,58.473,743.172,86.118,0.1007,0,Normal
SSN2026000362,2026-03-12,3.0,50.759,720.622,84.688,0.4469,0,Normal
SSN2026000363,2026-02-04,0.0,53.286,663.598,86.907,0.1665,0,Normal
SSN2026000364,2026-02-21,0.0,55.12,673.157,84.629,0.4843,0,Normal
SSN2026000365,2026-04-03,1.0,60.184,705.905,86.74,-0.3114,0,Normal
SSN2026000366,2026-01-15,5.0,56.532,685.826,85.407,-0.0881,0,Normal
SSN2026000367,2026-02-14,4.0,52.593,707.933,85.8,-0.2287,0,Normal
SSN2026000368,2026-03-03,2.0,59.435,720.723,85.569,0.2711,0,Normal
SSN2026000369,2026-03-20,2.0,51.864,694.2,84.695,0.4035,0,Normal
SSN2026000370,2026-03-24,3.0,55.917,745.771,85.05,0.3725,0,Normal
SSN2026000371,2026-01-29,8.0,54.894,725.583,85.129,-0.1081,0,Particle
SSN2026000372,2026-02-13,0.0,53.256,740.488,84.626,0.3868,0,Normal
SSN2026000373,2026-03-23,0.0,56.739,734.925,84.894,0.1003,0,Normal
SSN2026000374,2026-03-21,1.0,54.937,703.903,83.871,0.0222,0,Normal
SSN2026000375,2026-03-23,2.0,57.799,708.724,85.069,-0.119,0,Normal
SSN2026000376,2026-03-04,3.0,49.833,705.907,85.333,0.0887,1,Flicker
SSN2026000377,2026-02-01,0.0,56.105,734.001,85.681,0.3148,0,Normal
SSN2026000378,2026-02-06,3.0,55.278,693.954,87.652,-0.2312,0,Normal
SSN2026000379,2026-03-07,2.0,59.202,748.422,87.714,-0.215,0,Normal
SSN2026000380,2026-01-24,6.0,56.395,686.953,84.532,0.0013,0,Particle
SSN2026000381,2026-03-09,0.0,57.742,707.655,86.248,0.6174,1,Brightness
SSN2026000382,2026-02-20,3.0,56.157,708.197,85.092,0.4587,0,Normal
SSN2026000383,2026-02-16,3.0,54.249,701.518,85.281,0.1656,0,Normal
SSN2026000384,2026-02-03,0.0,56.387,758.248,84.469,-0.0984,0,Normal
SSN2026000385,2026-03-13,2.0,55.591,701.75,84.114,0.2116,0,Normal
SSN2026000386,2026-02-16,3.0,57.12,699.382,87.19,0.0086,0,Normal
SSN2026000387,2026-02-03,1.0,48.776,701.589,83.909,-0.0749,0,Normal
SSN2026000388,2026-02-11,4.0,53.111,719.182,84.996,0.4443,1,Flicker
SSN2026000389,2026-02-14,2.0,58.811,694.74,87.675,-0.096,1,Flicker
SSN2026000390,2026-02-26,0.0,51.037,691.473,86.514,-0.3217,0,Normal
SSN2026000391,2026-04-03,4.0,56.454,706.142,84.208,-0.1846,0,Normal
SSN2026000393,2026-01-20,3.0,53.234,732.981,86.271,-0.0435,0,Normal
SSN2026000394,2026-04-03,2.0,48.917,709.599,86.041,0.1052,0,Normal
SSN2026000395,2026-01-21,4.0,52.274,713.058,84.334,0.182,0,Normal
SSN2026000396,2026-03-24,2.0,60.189,699.037,86.549,0.2598,0,Normal
SSN2026000397,2026-01-16,8.0,52.839,692.905,86.996,-0.0103,0,Particle
SSN2026000398,2026-02-05,2.0,52.896,680.588,87.396,0.0344,0,Normal
SSN2026000399,2026-04-04,0.0,52.602,681.05,86.616,0.5213,0,Normal
SSN2026000400,2026-01-18,6.0,58.363,693.525,85.849,-0.1244,1,Flicker
SSN2026000401,2026-01-20,8.0,54.576,746.875,85.901,-0.2259,0,Particle
SSN2026000402,2026-03-02,8.0,54.057,702.755,84.569,-0.1493,0,Particle
SSN2026000403,2026-01-23,17.0,59.125,704.67,87.031,0.1783,0,Normal
SSN2026000404,2026-01-08,4.0,55.785,,86.258,-0.1784,0,Normal
SSN2026000405,2026-03-05,2.0,51.697,739.406,85.675,0.3128,1,Flicker
SSN2026000406,2026-04-04,2.0,51.427,687.171,87.661,0.4098,0,Normal
SSN2026000407,2026-03-14,0.0,58.6,713.546,85.491,0.0502,1,Flicker
SSN2026000408,2026-03-30,8.0,56.735,702.862,86.269,0.2637,0,Particle
SSN2026000410,2026-03-01,0.0,48.81,719.919,84.644,-0.0629,0,Normal
SSN2026000411,2026-04-06,3.0,53.36,705.902,85.056,0.3971,0,Normal
SSN2026000412,2026-02-20,2.0,52.075,728.25,86.069,-0.0242,0,Normal
SSN2026000413,2026-01-11,1.0,48.836,709.19,86.788,0.5079,1,Flicker
SSN2026000414,2026-01-29,2.0,49.691,748.57,85.915,0.2636,0,Normal
SSN2026000415,2026-02-27,3.0,51.698,709.523,85.925,-0.2073,0,Normal
SSN2026000416,2026-03-22,2.0,51.733,672.76,85.391,-0.152,0,Normal
SSN2026000417,2026-02-26,0.0,59.033,709.723,85.257,-0.4312,0,Normal
SSN2026000418,2026-02-08,0.0,54.583,719.771,86.892,0.411,0,Normal
SSN2026000419,2026-02-03,4.0,53.771,726.458,83.741,-0.0164,0,Normal
SSN2026000420,2026-03-10,6.0,56.194,689.946,87.35,-0.206,0,Particle
SSN2026000421,2026-03-26,1.0,56.045,660.089,86.989,0.3158,1,Flicker
SSN2026000422,2026-02-01,4.0,56.226,667.247,85.427,0.2596,0,Normal
SSN2026000423,2026-02-25,2.0,55.591,746.348,83.234,0.2215,0,Normal
SSN2026000424,2026-02-10,1.0,54.891,696.95,87.418,-0.3047,0,Normal
SSN2026000425,2026-01-29,3.0,62.639,740.161,88.579,-0.2355,0,Normal
SSN2026000426,2026-02-10,2.0,57.753,663.792,85.956,-0.0164,0,Normal
SSN2026000427,2026-01-09,6.0,51.851,681.135,86.865,,0,Normal
SSN2026000428,2026-02-23,3.0,54.951,725.58,85.881,0.1162,0,Normal
SSN2026000429,2026-01-17,3.0,52.047,,85.786,-0.2628,0,Normal
SSN2026000430,2026-02-14,4.0,56.233,719.798,84.47,-0.2324,0,Normal
SSN2026000431,2026-03-24,5.0,52.77,713.448,86.232,-0.3445,0,Particle
SSN2026000432,2026-01-20,6.0,52.293,701.066,86.369,,0,Particle
SSN2026000434,2026-03-08,0.0,58.534,686.998,86.84,0.1532,0,Normal
SSN2026000435,2026-03-27,1.0,56.386,740.638,87.852,-0.1588,0,Normal
SSN2026000436,2026-04-02,1.0,55.669,746.374,84.394,0.445,0,Normal
SSN2026000437,2026-01-17,5.0,56.872,688.203,82.211,0.3259,0,Normal
SSN2026000438,2026-01-23,3.0,55.671,679.253,87.23,0.4642,0,Normal
SSN2026000439,2026-04-01,1.0,52.438,696.824,84.694,0.4566,0,Normal
SSN2026000440,2026-02-22,0.0,54.79,724.504,85.457,0.3146,0,Normal
SSN2026000441,2026-03-21,5.0,57.814,713.654,86.133,0.613,0,Brightness
SSN2026000442,2026-01-08,1.0,53.971,713.607,86.453,0.4685,0,Normal
SSN2026000443,2026-01-12,4.0,56.597,716.634,84.004,0.2728,0,Normal
SSN2026000444,2026-01-20,0.0,58.084,715.906,85.055,-0.1293,0,Normal
SSN2026000445,2026-01-14,7.0,55.942,761.989,84.976,0.0209,0,Particle
SSN2026000446,2026-03-25,0.0,55.751,694.538,84.545,0.2346,0,Normal
SSN2026000447,2026-03-21,0.0,56.26,746.261,86.475,-0.0263,0,
SSN2026000448,2026-02-09,1.0,55.772,754.266,87.071,0.1312,0,Normal
SSN2026000449,2026-01-14,2.0,52.807,729.802,86.401,0.2039,0,Normal
SSN2026000450,2026-01-14,8.0,55.2,654.978,87.053,0.1754,0,Particle
SSN2026000451,2026-01-29,0.0,54.865,701.248,86.025,-0.0126,0,Normal
SSN2026000452,2026-03-12,3.0,58.592,701.622,86.134,0.2061,0,Normal
SSN2026000453,2026-03-15,5.0,58.183,710.342,88.889,-0.27,0,Particle
SSN2026000454,2026-02-24,2.0,54.48,691.83,85.313,0.3881,1,Flicker
SSN2026000455,2026-03-30,1.0,57.923,722.393,85.578,0.2747,0,Normal
SSN2026000456,2026-03-28,7.0,53.55,735.187,86.994,-0.0847,0,Particle
SSN2026000457,2026-03-14,3.0,58.832,733.168,85.169,0.23,0,Normal
SSN2026000458,2026-01-13,1.0,53.885,705.525,84.536,-0.1466,0,Normal
SSN2026000459,2026-03-27,2.0,56.307,683.131,86.212,0.3262,0,Normal
SSN2026000460,2026-03-26,0.0,53.474,732.969,85.506,-0.332,0,Normal
SSN2026000461,2026-02-22,3.0,56.587,751.487,87.349,0.1251,0,Normal
SSN2026000462,2026-03-02,6.0,,705.86,87.379,0.4707,0,Particle
SSN2026000463,2026-03-18,1.0,55.15,722.304,85.323,-0.4175,0,Normal
SSN2026000464,2026-02-28,4.0,56.553,704.465,85.617,0.0486,0,Normal
SSN2026000465,2026-02-03,3.0,57.675,691.49,86.039,0.5402,0,Normal
SSN2026000466,2026-03-07,2.0,53.677,736.83,86.874,-0.2436,0,Normal
SSN2026000467,2026-03-15,2.0,54.753,715.073,86.644,0.2533,0,Normal
SSN2026000469,2026-03-04,2.0,53.809,723.118,87.713,0.7966,0,Scratch
SSN2026000470,2026-01-21,0.0,58.413,734.215,84.94,-0.2391,1,Flicker
SSN2026000471,2026-02-26,2.0,58.319,731.628,86.192,0.0456,0,Normal
SSN2026000472,2026-01-12,6.0,57.416,688.041,85.044,0.3967,0,Normal
SSN2026000473,2026-04-02,1.0,56.152,692.677,83.934,0.4085,0,Normal
SSN2026000474,2026-03-04,6.0,53.566,698.579,85.964,-0.0838,1,Flicker
SSN2026000475,2026-02-19,25.0,54.73,716.595,85.525,-0.3313,0,Scratch
SSN2026000476,2026-02-22,7.0,55.451,706.212,83.945,0.3984,0,Normal
SSN2026000477,2026-03-03,4.0,53.863,725.27,86.865,-0.0238,0,Normal
SSN2026000478,2026-01-17,2.0,56.876,736.103,83.866,-0.0194,0,Normal
SSN2026000479,2026-02-22,1.0,55.839,740.263,86.93,-0.0067,0,Normal
SSN2026000480,2026-03-12,0.0,52.161,738.462,85.743,0.2567,0,Normal
SSN2026000481,2026-01-27,1.0,59.63,677.06,85.124,0.0929,1,Flicker
SSN2026000482,2026-02-16,3.0,57.236,680.126,87.515,0.1839,1,Flicker
SSN2026000483,2026-02-04,0.0,52.735,711.991,83.958,0.124,0,Normal
SSN2026000484,2026-01-18,1.0,52.115,709.921,83.369,0.5319,1,Flicker
SSN2026000485,2026-04-03,3.0,58.442,705.822,85.691,0.6447,0,Brightness
SSN2026000486,2026-03-02,3.0,62.24,705.082,85.579,0.0952,0,Normal
SSN2026000487,2026-02-12,2.0,58.029,702.487,87.639,0.378,0,Normal
SSN2026000488,2026-02-05,1.0,58.126,723.654,85.943,0.0406,0,Normal
SSN2026000489,2026-03-06,0.0,58.226,685.91,83.405,0.5192,0,Normal
SSN2026000490,2026-01-14,2.0,55.708,780.89,85.667,-0.1026,0,Normal
SSN2026000491,2026-02-24,2.0,57.267,709.351,86.634,0.2863,1,Flicker
SSN2026000492,2026-01-24,3.0,55.213,735.659,85.09,0.6017,0,Brightness
SSN2026000493,2026-03-25,6.0,55.826,710.238,84.163,0.0512,1,Flicker
SSN2026000495,2026-03-14,1.0,57.001,703.822,84.006,-0.0175,0,Normal
SSN2026000496,2026-01-19,3.0,58.963,728.13,85.181,-0.4476,0,Normal
SSN2026000497,2026-01-15,1.0,52.646,710.246,85.306,-0.1462,0,Normal
SSN2026000498,2026-02-15,0.0,54.344,745.074,86.049,-0.4546,1,Flicker
SSN2026000499,2026-02-03,0.0,,685.751,84.881,0.1902,1,Flicker
SSN2026000500,2026-03-09,1.0,52.988,747.117,85.588,0.3607,0,Normal
SSN2026000501,2026-03-11,6.0,52.366,707.525,85.383,-0.2245,0,Particle
SSN2026000502,2026-02-12,0.0,58.417,678.946,86.05,0.1015,0,Normal
SSN2026000503,2026-01-18,0.0,54.251,756.196,85.787,0.6192,0,Brightness
SSN2026000504,2026-01-31,5.0,55.984,752.31,85.771,0.308,0,Normal
SSN2026000506,2026-01-25,1.0,57.199,710.672,86.396,0.6195,0,Brightness
SSN2026000507,2026-02-05,5.0,56.02,733.29,85.949,-0.002,0,Particle
SSN2026000508,2026-01-28,4.0,54.376,728.654,85.677,0.3655,1,Flicker
SSN2026000509,2026-01-12,3.0,52.616,752.73,85.254,0.2348,0,Normal
SSN2026000510,2026-02-27,2.0,52.355,742.523,87.259,0.1098,1,Flicker
SSN2026000511,2026-04-07,3.0,56.767,713.588,87.822,-0.1637,0,Normal
SSN2026000512,2026-03-30,1.0,56.259,774.451,85.269,0.1963,0,Normal
SSN2026000513,2026-03-28,5.0,56.163,731.696,84.705,0.7802,1,Brightness
SSN2026000514,2026-03-08,0.0,56.969,706.051,87.134,-0.0788,0,Normal
SSN2026000515,2026-03-15,5.0,56.275,693.416,85.845,0.0368,0,Particle
SSN2026000516,2026-01-09,2.0,54.046,727.361,85.084,0.2651,0,
SSN2026000517,2026-01-24,4.0,56.006,690.692,84.468,0.3501,0,Normal
SSN2026000518,2026-03-08,0.0,52.418,695.33,88.202,-0.1808,0,Normal
SSN2026000519,2026-04-04,2.0,62.041,700.048,88.136,0.1443,1,Flicker
SSN2026000520,2026-03-24,,54.342,710.547,87.557,0.4149,0,Normal
SSN2026000521,2026-02-27,0.0,55.371,708.876,85.505,-0.0721,1,Flicker
SSN2026000522,2026-01-17,0.0,54.781,679.658,87.847,-0.157,0,Normal
SSN2026000523,2026-03-29,3.0,53.017,736.372,85.483,-0.0534,0,Normal
SSN2026000524,2026-02-01,2.0,62.663,700.906,83.881,0.0406,0,Normal
SSN2026000525,2026-01-06,5.0,54.411,755.432,84.945,0.562,0,Brightness
SSN2026000526,2026-03-12,2.0,54.302,712.869,86.836,0.2839,0,Normal
SSN2026000527,2026-01-22,1.0,54.07,749.575,85.138,-0.1374,0,Normal
SSN2026000528,2026-01-30,2.0,51.665,731.541,86.317,0.2272,0,Normal
SSN2026000529,2026-03-08,2.0,59.555,733.694,87.387,,0,Normal
SSN2026000530,2026-04-01,,57.001,736.653,84.972,-0.3056,1,Flicker
SSN2026000531,2026-03-28,6.0,55.838,717.248,85.023,0.5153,0,Particle
SSN2026000532,2026-01-20,9.0,51.987,732.713,83.976,0.1395,0,Particle
SSN2026000533,2026-01-18,7.0,54.447,759.207,86.173,0.0395,0,Normal
SSN2026000534,2026-03-18,0.0,57.89,699.999,85.915,-0.3257,1,Flicker
SSN2026000535,2026-02-04,1.0,66.656,725.553,88.099,-0.0853,0,Normal
SSN2026000536,2026-01-10,0.0,58.641,706.2,87.975,-0.1543,1,Flicker
SSN2026000537,2026-02-23,1.0,58.441,715.376,86.257,0.4987,0,Normal
SSN2026000538,2026-03-04,2.0,,705.785,86.171,0.308,0,Normal
SSN2026000539,2026-04-07,1.0,53.332,651.497,86.311,0.4631,0,Particle
SSN2026000540,2026-02-16,3.0,56.608,698.048,86.426,0.6435,0,Brightness
SSN2026000541,2026-03-16,3.0,51.427,739.238,85.181,-0.0444,0,Normal
SSN2026000542,2026-02-19,3.0,53.083,702.542,86.2,0.4266,0,Normal
SSN2026000543,2026-03-31,9.0,49.878,746.025,84.602,0.1738,0,Particle
SSN2026000544,2026-02-16,1.0,57.534,719.342,85.428,0.0289,0,Normal
SSN2026000545,2026-03-04,1.0,52.89,701.497,86.69,0.3628,0,Normal
SSN2026000546,2026-03-29,1.0,55.55,728.486,84.527,-0.0439,1,Flicker
SSN2026000547,2026-03-23,7.0,55.053,735.086,84.072,-0.1914,0,Scratch
SSN2026000548,2026-02-08,3.0,51.342,718.114,85.295,0.39,1,Flicker
SSN2026000549,2026-02-19,1.0,54.669,736.696,85.866,-0.1108,1,Flicker
SSN2026000550,2026-02-26,6.0,54.336,728.25,84.608,0.3706,0,Particle
SSN2026000551,2026-01-16,1.0,50.282,667.992,86.532,-0.0804,0,
SSN2026000552,2026-01-25,1.0,51.827,718.129,84.669,0.6295,0,Brightness
SSN2026000553,2026-03-06,1.0,53.512,657.697,86.951,-0.4201,1,Flicker
SSN2026000554,2026-01-13,4.0,57.926,729.215,86.335,-0.2711,0,Normal
SSN2026000555,2026-02-28,10.0,57.945,730.686,86.075,-0.0774,0,Particle
SSN2026000556,2026-02-15,2.0,50.219,731.977,83.578,0.3781,0,Normal
SSN2026000557,2026-02-14,1.0,54.717,724.693,88.014,-0.0888,0,Normal
SSN2026000558,2026-03-25,0.0,61.069,739.769,86.258,0.5379,0,Normal
SSN2026000559,2026-02-01,3.0,51.413,685.844,84.776,-0.3394,1,Flicker
SSN2026000560,2026-03-15,5.0,56.831,709.635,86.165,0.0375,0,Particle
SSN2026000561,2026-03-15,0.0,55.287,662.82,85.784,0.0093,1,Flicker
SSN2026000562,2026-04-05,6.0,56.765,703.108,86.31,0.0709,0,Normal
SSN2026000563,2026-03-19,1.0,55.881,,89.621,0.232,0,Normal
SSN2026000564,2026-02-21,3.0,53.757,735.672,86.358,-0.1179,0,Normal
SSN2026000565,2026-02-07,1.0,56.589,728.861,85.428,0.164,0,Normal
SSN2026000566,2026-03-14,5.0,55.797,705.187,84.353,0.2454,0,Particle
SSN2026000567,2026-03-31,1.0,53.347,688.497,85.124,0.1791,0,Normal
SSN2026000568,2026-02-02,2.0,,722.999,84.037,0.0727,0,Normal
SSN2026000569,2026-02-04,5.0,58.079,746.721,84.522,0.3625,0,Normal
SSN2026000570,2026-02-20,5.0,58.825,709.633,85.959,0.4124,1,Flicker
SSN2026000571,2026-01-15,4.0,50.318,671.03,83.514,0.2769,0,Normal
SSN2026000572,2026-02-05,3.0,52.872,702.135,85.71,0.2125,0,Normal
SSN2026000573,2026-01-22,6.0,53.726,673.323,86.224,0.2702,0,Normal
SSN2026000574,2026-03-12,4.0,51.382,734.999,86.909,-0.0429,0,Normal
SSN2026000575,2026-02-18,3.0,51.364,685.073,84.109,0.3354,0,Normal
SSN2026000576,2026-02-25,5.0,51.247,680.62,85.666,-0.0773,0,Normal
SSN2026000577,2026-01-09,3.0,51.991,731.325,83.798,0.5369,0,Normal
SSN2026000578,2026-02-28,7.0,50.614,716.277,86.23,0.3642,0,Particle
SSN2026000579,2026-03-08,4.0,57.712,723.72,85.962,0.3677,0,Normal
SSN2026000580,2026-03-05,0.0,56.906,765.951,87.834,0.5669,0,Brightness
SSN2026000581,2026-03-20,2.0,57.768,728.236,84.395,0.3978,0,Normal
SSN2026000582,2026-01-14,2.0,55.441,692.929,86.527,0.214,0,Normal
SSN2026000583,2026-02-20,2.0,51.012,719.742,84.862,-0.2687,0,Normal
SSN2026000584,2026-02-15,3.0,58.325,703.853,85.195,-0.1423,0,Normal
SSN2026000585,2026-03-23,5.0,55.667,735.586,87.064,-0.2154,0,Normal
SSN2026000586,2026-03-09,0.0,57.429,719.743,85.576,-0.2494,0,Normal
SSN2026000587,2026-04-03,3.0,61.168,724.491,,0.8239,0,Brightness
SSN2026000588,2026-01-06,4.0,52.667,663.927,86.601,0.7103,0,Brightness
SSN2026000589,2026-02-17,4.0,47.131,703.614,88.161,0.258,0,Normal
SSN2026000590,2026-03-08,10.0,51.772,710.352,85.053,-0.2619,0,Particle
SSN2026000591,2026-01-13,0.0,54.923,693.724,85.786,0.3664,0,Normal
SSN2026000592,2026-03-02,5.0,55.657,710.388,87.396,-0.1368,0,Particle
SSN2026000593,2026-01-22,2.0,52.305,719.433,84.763,1.0654,0,Brightness
SSN2026000594,2026-01-09,7.0,51.758,711.452,86.394,0.2785,1,Flicker
SSN2026000595,2026-03-06,5.0,54.684,673.453,87.027,0.3027,0,Particle
SSN2026000596,2026-02-09,5.0,53.484,709.837,86.492,-0.0893,0,Particle
SSN2026000597,2026-02-12,1.0,56.636,703.334,85.26,0.1868,0,Scratch
SSN2026000598,2026-02-06,5.0,52.605,723.002,84.979,-0.1597,1,Flicker
SSN2026000599,2026-03-06,5.0,53.923,701.137,87.427,0.0847,0,Normal
SSN2026000600,2026-02-27,4.0,54.139,691.929,86.934,0.0346,0,Normal
SSN2026000601,2026-03-04,3.0,56.211,700.587,87.571,-0.1089,0,Normal
SSN2026000602,2026-03-15,1.0,54.721,711.12,87.691,0.084,0,Particle
SSN2026000603,2026-03-03,0.0,54.8,744.423,87.483,-0.0091,0,Normal
SSN2026000604,2026-01-10,4.0,56.027,707.753,85.124,0.2657,0,Normal
SSN2026000605,2026-01-21,3.0,55.483,744.44,85.384,-0.2273,0,Normal
SSN2026000606,2026-04-03,1.0,51.805,736.147,87.178,0.4072,0,Normal
SSN2026000607,2026-01-30,6.0,53.506,747.524,85.076,-0.022,0,Scratch
SSN2026000608,2026-02-12,3.0,56.412,753.852,86.843,-0.1308,0,Normal
SSN2026000609,2026-02-11,1.0,61.307,753.945,84.428,-0.1409,1,Flicker
SSN2026000610,2026-04-04,0.0,50.933,674.544,85.093,0.4376,0,Normal
SSN2026000611,2026-03-21,2.0,54.791,729.566,,-0.4984,1,Flicker
SSN2026000612,2026-02-19,1.0,55.484,748.515,85.783,0.2385,0,Normal
SSN2026000613,2026-03-10,3.0,55.207,746.193,86.244,-0.0694,0,Normal
SSN2026000614,2026-02-26,17.0,58.509,680.613,85.41,0.7631,0,Brightness
SSN2026000615,2026-03-01,0.0,51.11,723.627,85.838,0.0774,0,Normal
SSN2026000616,2026-03-28,2.0,51.41,715.45,84.2,0.0731,0,Normal
SSN2026000617,2026-03-06,3.0,57.22,759.896,86.013,0.5518,0,Brightness
SSN2026000618,2026-01-14,7.0,58.374,670.101,83.471,-0.1747,1,Flicker
SSN2026000619,2026-02-20,8.0,55.41,690.139,85.039,0.0352,0,Particle
SSN2026000620,2026-03-19,2.0,53.611,670.859,86.094,0.583,0,Brightness
SSN2026000621,2026-01-07,4.0,,722.886,86.75,-0.3019,1,Flicker
SSN2026000622,2026-02-03,15.0,55.173,760.435,89.658,0.011,0,Particle
SSN2026000623,2026-01-22,2.0,55.554,714.792,86.321,-0.0255,1,Flicker
SSN2026000624,2026-03-10,0.0,53.261,712.387,87.969,-0.1723,0,Normal
SSN2026000625,2026-01-18,1.0,56.752,729.972,87.124,0.3791,1,Flicker
SSN2026000626,2026-02-28,2.0,55.96,709.642,84.682,0.2853,0,Normal
SSN2026000627,2026-01-11,1.0,56.036,724.242,85.928,0.2568,0,Normal
SSN2026000628,2026-03-30,2.0,51.712,715.807,84.631,-0.2736,0,Normal
SSN2026000629,2026-01-31,2.0,54.794,693.425,84.811,0.4383,0,Normal
SSN2026000630,2026-02-13,7.0,50.35,705.905,83.555,0.2485,1,Flicker
SSN2026000631,2026-03-16,1.0,52.79,733.093,85.723,-0.0986,0,Normal
SSN2026000632,2026-02-06,3.0,55.029,726.277,86.503,0.473,0,Normal
SSN2026000633,2026-01-16,1.0,55.815,742.124,85.234,0.1751,1,Flicker
SSN2026000634,2026-03-25,0.0,60.041,712.348,87.106,0.3041,1,Flicker
SSN2026000635,2026-01-16,2.0,57.793,716.086,85.64,0.0741,0,Normal
SSN2026000636,2026-02-19,0.0,58.511,729.158,88.021,-0.0609,0,Normal
SSN2026000637,2026-01-16,5.0,56.427,699.16,85.494,0.2184,1,Flicker
SSN2026000638,2026-03-06,1.0,56.935,701.511,85.073,0.2458,0,Normal
SSN2026000639,2026-01-27,2.0,60.353,699.141,85.168,-0.1354,0,Normal
SSN2026000640,2026-03-27,3.0,54.519,672.792,85.947,-0.2305,0,Normal
SSN2026000641,2026-01-20,1.0,51.959,716.032,85.992,0.1622,0,Normal
SSN2026000642,2026-03-09,6.0,58.949,732.797,84.574,-0.4286,0,Normal
SSN2026000643,2026-01-08,1.0,54.682,702.259,85.723,-0.1518,0,Normal
SSN2026000644,2026-01-15,8.0,55.894,731.245,85.211,0.258,0,Particle
SSN2026000645,2026-01-31,0.0,53.653,686.673,87.176,-0.317,0,Normal
SSN2026000646,2026-03-26,2.0,53.652,694.055,87.208,-0.0906,1,Flicker
SSN2026000647,2026-04-05,3.0,58.124,765.061,86.715,0.105,0,Normal
SSN2026000648,2026-03-03,3.0,52.405,676.163,85.986,0.4513,1,Flicker
SSN2026000649,2026-02-04,3.0,55.843,676.098,85.258,-0.3347,1,Flicker
SSN2026000650,2026-02-02,2.0,55.432,704.517,85.036,0.2928,0,Normal
SSN2026000651,2026-01-21,2.0,50.625,713.64,86.818,0.3491,0,Normal
SSN2026000652,2026-02-05,6.0,54.576,725.145,86.444,0.2229,0,Particle
SSN2026000653,2026-02-18,3.0,54.514,758.281,84.907,0.5384,0,Normal
SSN2026000654,2026-03-05,1.0,55.005,680.044,86.769,-0.1091,0,Normal
SSN2026000655,2026-01-25,0.0,54.81,687.078,87.518,-0.2361,0,Normal
SSN2026000656,2026-01-10,3.0,52.574,,87.489,0.1428,0,Normal
SSN2026000657,2026-02-24,1.0,50.859,735.023,86.446,0.4581,0,Normal
SSN2026000658,2026-01-26,2.0,59.57,719.558,84.363,0.5002,0,Normal
SSN2026000659,2026-02-08,4.0,56.603,688.186,86.172,-0.1561,0,Normal
SSN2026000660,2026-03-12,6.0,57.245,740.172,86.358,0.0775,1,Flicker
SSN2026000661,2026-03-23,5.0,,723.473,84.736,0.5153,0,Particle
SSN2026000662,2026-02-24,0.0,53.123,712.259,86.139,-0.076,0,Normal
SSN2026000663,2026-04-01,5.0,59.485,691.221,86.845,0.3475,1,Flicker
SSN2026000664,2026-01-27,1.0,48.803,720.776,84.449,-0.0089,0,Normal
SSN2026000665,2026-03-10,3.0,54.574,738.404,86.268,0.0374,0,Normal
SSN2026000666,2026-04-04,0.0,53.409,679.476,87.087,0.2877,0,Normal
SSN2026000667,2026-01-27,0.0,54.279,700.339,85.078,0.1211,1,Flicker
SSN2026000668,2026-03-11,0.0,53.577,698.834,85.344,0.1032,1,Flicker
SSN2026000669,2026-02-17,0.0,53.685,696.57,86.651,0.5204,0,Normal
SSN2026000670,2026-03-22,1.0,53.496,706.476,83.708,0.0393,0,Normal
SSN2026000671,2026-02-03,0.0,49.167,733.711,86.163,-0.2458,0,Normal
